;sentence;class
1834;Para se ter uma ideia , 62% dos brasileiros usam redes sociais no Brasil e a média de tempo que gastam é de 3h39min , de acordo com o estudo Digital in 2018 , da We are Social . , Digital in 2018 , We are Social;1
2624;A credenciadora de cartões PagSeguro, do grupo UOL, firmou uma parceria com o TikTok, da ByteDance, pela qual os usuários da rede social de compartilhamento de vídeos poderão receber valores em uma conta digital do PagBank. , UOL , TikTok;0
3097;O relatório do Goldman Sachs lembra que o Bradesco comprou a Ágora em 2008 e em 2019 incorporou os clientes individuais da Bradesco Corretora. , Bradesco Corretora , Ágora;0
3282;Na agência de Sorocaba, por exemplo, o gerente Luiz Roberto Mathias Junior intermediou a exposição dos produtos do Empório Matuto, uma empresa de queijos e geleias do cooperado José Renato Moura Piantino. , Sorocaba , Empório Matuto;0
2082;Já o Carrefour está testando o Carrefour Pay , importado da Europa , que começou focado em postos de combustível e algumas lojas do Carrefour Express (de até 150 metros quadrados) . , Carrefour , Europa;0
3129;O secretário adjunto de Política Agrícola do Ministério da Agricultura, José Ângelo Mazzillo Júnior entende que a certificação proporciona ao produtor acesso ao crédito com taxas de juros mais baixas e aumenta a rentabilidade da propriedade. , Política Agrícola do Ministério da Agricultura , José Ângelo Mazzillo Júnior;1
1530;Realizado no Lounge Plant , o debate contou com a participação de Percival Lucena , pesquisador da IBM , Fernando Martins , conselheiro da Jacto , e Rodrigo Iafelice dos Santos , presidente da Ennexas Agribusiness . , Fernando Martins , Jacto;1
2359;Sobre os rumores de que a ida dos conselheiros incluiu negociações para uma parceria com a empresa de comércio eletrônico Alibaba , dona do site AliExpress , Frederico diz que o Magalu , por ora , não quer fazer acordos para vender produtos vindos do exterior . , Alibaba , Magalu;0
2425;A capacidade de se conectar com as pessoas, a capacidade de as equipes trabalharem juntas com uma finalidade em mente , você pode fazer isso virtualmente, mas não é tão espontâneo , avalia Ardine Williams, vice-presidente de desenvolvimento da força de trabalho da Amazon, em entrevista ao Wall Street Journal. , Ardine Williams , Wall Street Journal;1
2132;O executivo Cristian Mairesse Cavalheiro , que era vice-presidente de tecnologia , se desligou da Getnet na sexta , para se dedicar 100% à internacionalização , a partir de uma base em Porto Alegre , no Rio Grande do Sul . , Rio Grande do Sul , Cristian Mairesse Cavalheiro;0
1349;O Nubank anunciou a conclusão da parceria com o Smiles . , Smiles , Nubank;1
921;Israel só seria obrigado a ceder se os Estados Unidos deixassem de apoiar e de vender milhares des de dólares de armas a os israelitas, e Israel sabe que isso nunca acontecerá, por razões da política interna americana e da força do lobby judeu. , Estados Unidos , Israel;0
644;Comandadas por Gabriel Menotti, do Cine Falcatrua, as projeções não seguiam uma programação prévia . , Cine Falcatrua , Gabriel Menotti;1
1149;O Conselho de Ministros aprovou o projecto de lei sobre o Provedor de Justiça que está neste momento no Parlamento Nacional. , Conselho de Ministros , Provedor de Justiça;1
2812;Desde que começamos a campanha do Inter Day, a resposta foi muito positiva, comenta Rodrigo Gouveia, diretor do Inter Marketplace. , Rodrigo Gouveia , Inter Marketplace;1
1476;Para simplificar o processo e aproximar novos investidores desse universo , a corretora Easynvest lançou nesta segunda-feira , em São Paulo , uma plataforma voltada exclusivamente à renda variável – que contempla ativos como ações e fundos imobiliários . , São Paulo , Easynvest;1
3285;Na semana passada houve a apresentação da CashLocal, empresa incubada no Parque Tecnológico de Pato Branco, que desenvolveu um aplicativo de fidelização, para devolver ao consumidor parte do dinheiro gasto em suas compras, fazendo girar novamente no comércio local. , Parque Tecnológico de Pato Branco , CashLocal;1
2814;Em agosto, o governo federal lançou o programa habitacional Casa Verde e Amarela, que vai reformular o Minha Casa Minha Vida. , Casa Verde e Amarela , Minha Casa Minha Vida;1
45;A B2W , dona da Americanas.com e do Submarino , estuda separar o braço da Ame Digital de suas operações . , Americanas.com , Ame Digital;0
1516;Realizada no Teatro do Sesi, local ao lado do espaço do fisl, a noite começou com os gaúchos da Bataclã FC, que entraram no palco com uniformes do Departamento Municipal de Limpeza Urbana de Porto Alegre e abriram o show com o clássico Amigo Punk. , Amigo Punk , Departamento Municipal de Limpeza Urbana de Porto Alegre;0
514;As empresas selecionadas também terão direito à estrutura do WeWork da Av. Brig . , Av. Brig , WeWork;1
516;As iniciativas estão sendo feitas em parceria com corretores de seguros , startups , insurtechs e organizações de diferentes setores , diz Laercio Cerboncini , responsável pela área digital da Chubb no Brasil . , Chubb , Brasil;1
1679;Uma infinidade de novas empresas de tecnologia financeira , incluindo as britânicas Revolut e Monzo , e a N26 , da Alemanha , seduziram milhões de clientes para suas plataformas . , Monzo , N26;0
3112;OLX Brasil está lançando duas funções importantes: uma solução de pagamentos própria e um serviço de entrega terceirizada, com parceria com os Correios. , OLX Brasil , Correios;1
1130;O C6 Bank é o banco digital de Marcelo Kalim , Carlos Fonseca e Leandro Torres , todos egressos do BTG Pactual . , BTG Pactual , C6 Bank;0
473;Além do Trem do Forró, evento criado e produzido pela Serrambi Turismo, que hoje desponta como uma das principais atrações turística do Brasil que acontece no mês de junho. , Serrambi Turismo , Brasil;0
